Date Time VMFC
Date Time VMFC
Date Time VMFC
Date Time VMFC Temperature
2020-07-08 14:33:47 339.06 9.48
2020-07-08 14:38:48 341.5 9.24
2020-07-08 14:43:49 338.46 9.47
2020-07-08 14:48:50 341.01 9.55
2020-07-08 14:53:50 339.49 9.34
2020-07-08 14:58:51 340.25 9.41
2020-07-08 15:03:52 339.71 9.36
2020-07-08 15:08:53 341.82 9.33
2020-07-08 15:13:54 340.68 9.7
2020-07-08 15:18:54 341.39 9.64
2020-07-08 15:23:55 340.95 10.02
2020-07-08 15:28:56 340.03 9.81
2020-07-08 15:33:57 341.93 10.35
2020-07-08 15:38:58 340.3 9.42
2020-07-08 15:43:58 342.69 9.83
2020-07-08 15:48:59 343.72 10.18
2020-07-08 15:54:00 340.41 9.75
2020-07-08 15:59:01 341.5 9.9
2020-07-08 16:04:02 340.2 9.93
2020-07-08 16:09:02 341.01 9.53
2020-07-08 16:14:03 344.64 9.93
2020-07-08 16:19:04 341.82 10.15
2020-07-08 16:24:05 342.09 9.53
2020-07-08 16:29:06 341.39 9.67
2020-07-08 16:34:06 342.85 9.69
2020-07-08 16:39:07 340.95 9.55
2020-07-08 16:44:08 343.88 9.83
2020-07-08 16:49:09 343.72 10.42
2020-07-08 16:54:09 342.04 9.89
2020-07-08 16:59:10 344.75 9.68
2020-07-08 17:04:11 343.66 9.61
2020-07-08 17:09:12 344.75 10.05
2020-07-08 17:14:13 342.47 9.66
2020-07-08 17:19:13 343.39 9.46
2020-07-08 17:24:14 342.58 9.49
2020-07-08 17:29:15 342.96 9.55
2020-07-08 17:34:16 343.61 9.67
2020-07-08 17:39:17 342.85 10.41
2020-07-08 17:44:17 344.15 9.94
2020-07-08 17:49:18 343.77 9.74
